Bundesland;Bahnhofsmanagement;BahnhofNr;Station;DS100;Bahnhofskategorie;Strasse;PLZ;Ort;Aufgabenträger;Verkehrsverb;Fernverkehr;Nahverkehr;lat;lon
Hessen;Frankfurt a. M.;4702;Oberursel (Taunus);FOU;4;Platz des 17. Juni 1;61440;Oberursel (Taunus);Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.199093019997;8.5885164141655
Hessen;Frankfurt a. M.;7969;Oberursel-Stierstadt;FOUS;5;Bahnweg 1;61440;Oberursel;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.1851558705383;8.58476484044989
Hessen;Kassel;4703;Vellmar-Obervellmar;FOV;4;Bahnhofstr. 41;34246;Vellmar;Nordhessischer VerkehrsVerbund mbH;NVV;nein;ja;51.3594695920303;9.45259451866148
Hessen;Gießen;4616;Ober Widdersheim;FOW;6;Basaltstr. 22;63667;Nidda;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.4295892998514;8.93386367797852
Hessen;Frankfurt a. M.;4831;Offenbach-Waldhof;FOWH;5;Seligenstädter Str. 201;63073;Offenbach (Main);Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.0816938858033;8.82887030288631
Rheinland-Pfalz;Mainz;4918;Pfeddersheim;FPD;6;Pfeffligheimerstr. 1;67551;Worms;Zweckverband Schienenpersonennahverkehr Rheinland-Pfalz Süd;VRN;nein;ja;49.6346411098005;8.28007042407989
Hessen;Darmstadt;8264;Pfungstadt;FPU;6;Eberstädter Strasse;64319;Pfungstadt;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;nein;49.8062573292585;8.60725045204163
Hessen;Frankfurt a. M.;5147;Raunheim;FRA;4;Bahnhofstr. 77;65479;Raunheim;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.0098356480948;8.45486689697611
Hessen;Gießen;5121;Ranstadt;FRAN;6;Bahnhofstr. 13;63691;Ranstadt;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.356607242496;8.98327670599285
Hessen;Gießen;5304;Rodenbach (Dillkr);FRB;6;Zum Tiergarten 11;35708;Haiger;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.7739399791176;8.20524023129389
Hessen;Darmstadt;5416;Rüdesheim (Rhein);FRDH;5;Am Rottland 1;65385;Rüdesheim;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;49.9766487263316;7.91226999035904
Hessen;Kassel;5224;Baunatal-Rengershausen;FREH;6;Felsengarten 1;34225;Baunatal-Rengershausen;Nordhessischer VerkehrsVerbund mbH;NVV;nein;ja;51.2552670951276;9.46874657097985
Hessen;Darmstadt;5203;Reinheim (Odenw);FREI;6;Bahnhofstr. 16;64354;Reinheim;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;49.8296352727715;8.83525760009372
Hessen;Kassel;5322;Melsungen-Röhrenfurth;FRFH;6;Unterdorf 2;34212;Melsungen-Röhrenfurth;Nordhessischer VerkehrsVerbund mbH;NVV;nein;ja;51.1543657718909;9.54838871955871
Hessen;Frankfurt a. M.;1877;Frankfurt-Rödelheim;FRH;3;Baruch-Baschwitz-Platz 33;60489;Frankfurt am Main;Rhein-Main-Verkehrsverbund GmbH;RMV;nein;ja;50.1247353317188;8.60699083325017
