BahnhofsId;Bahnhofname;Position;Latitude;Longitude
SNode-1487593;Erzhausen Hp                                      ;49.950654139082 8.650906523133;49.950654139082;8.650906523133
SNode-1487594;Darmstadt-Wixhausen                               ;49.930149861144 8.647898396502;49.930149861144;8.647898396502
SNode-1487595;Darmstadt-Arheilgen                               ;49.912998292818 8.645437440538;49.912998292818;8.645437440538
SNode-1487596;Darmstadt Hbf                                     ;49.872527562892 8.630029816202;49.872527562892;8.630029816202
SNode-1487597;Gießen                                            ;50.579274925256 8.663027559612;50.579274925256;8.663027559612
SNode-1487598;Gießen Licher Straße                              ;50.582095425548 8.697835971880;50.582095425548;8.697835971880
SNode-1487599;Großen Buseck                                     ;50.605727231474 8.783007872546;50.605727231474;8.783007872546
SNode-1487600;Reiskirchen (Kr Gießen)                           ;50.598075072710 8.831107674029;50.598075072710;8.831107674029
SNode-1487601;Saasen                                            ;50.594056712090 8.881834856369;50.594056712090;8.881834856369
SNode-1487602;Göbelnrod                                         ;50.597652723501 8.921413167309;50.597652723501;8.921413167309
SNode-1487603;Grünberg (Oberhess)                               ;50.596722303744 8.960128901307;50.596722303744;8.960128901307
SNode-1487604;Lehnheim                                          ;50.606687990026 8.992019500336;50.606687990026;8.992019500336
SNode-1487605;Mücke (Hessen)                                    ;50.617086976553 9.029023702703;50.617086976553;9.029023702703
SNode-1487606;Nieder Ohmen                                      ;50.645275895924 9.033866898599;50.645275895924;9.033866898599
SNode-1487607;Burg- und Nieder Gemünden                         ;50.690686793233 9.047400342152;50.690686793233;9.047400342152
SNode-1487608;Ehringshausen (Oberhess)                          ;50.708834545140 9.101771090455;50.708834545140;9.101771090455
SNode-1487609;Zell-Romrod                                       ;50.727310177401 9.199793934220;50.727310177401;9.199793934220
SNode-1487610;Alsfeld (Oberhess)                                ;50.751020725246 9.264171729317;50.751020725246;9.264171729317
SNode-1487611;Wallenrod                                         ;50.664028104453 9.331858926286;50.664028104453;9.331858926286
SNode-1487612;Lauterbach (Hess) Nord                            ;50.643613627074 9.407690024755;50.643613627074;9.407690024755
SNode-1487613;Angersbach                                        ;50.630852054826 9.447271681026;50.630852054826;9.447271681026
SNode-1487614;Bad Salzschlirf                                   ;50.626993362542 9.494502185802;50.626993362542;9.494502185802
SNode-1487615;Großenlüder                                       ;50.592947821987 9.549961390400;50.592947821987;9.549961390400
SNode-1487616;Oberbimbach                                       ;50.577673388283 9.564064055586;50.577673388283;9.564064055586
SNode-1487617;Maberzell                                         ;50.566160952313 9.615078653940;50.566160952313;9.615078653940
SNode-1487618;Fulda                                             ;50.554687565800 9.683954830596;50.554687565800;9.683954830596
SNode-1487619;Gießen                                            ;50.579242479632 8.663062026909;50.579242479632;8.663062026909
SNode-1487620;Gießen Erdkauterweg                               ;50.571217722938 8.683402618454;50.571217722938;8.683402618454
SNode-1487621;Watzenborn-Steinberg                              ;50.545364308502 8.724098387845;50.545364308502;8.724098387845
SNode-1487622;Garbenteich                                       ;50.540267291760 8.745300645734;50.540267291760;8.745300645734
SNode-1487623;Pfahlgraben                                       ;50.529760943409 8.751160442303;50.529760943409;8.751160442303
SNode-1487624;Lich (Oberhess)                                   ;50.514547146256 8.822102959584;50.514547146256;8.822102959584
